#  Energy [eV]     Im_eps_xx
 
      4.39464     0.16408038E+02
      4.40825     0.16372809E+02
      4.42185     0.16374507E+02
      4.43546     0.16410644E+02
      4.44906     0.16437818E+02
      4.46267     0.16486950E+02
      4.47627     0.16584131E+02
      4.48988     0.16958532E+02
      4.50349     0.17707242E+02
      4.51709     0.18802635E+02
      4.53070     0.23767814E+02
      4.54430     0.20164089E+02
      4.55791     0.19635264E+02
      4.57151     0.19046553E+02
      4.58512     0.18467786E+02
      4.59873     0.17976245E+02
      4.61233     0.17622149E+02
      4.62594     0.17187495E+02
      4.63954     0.16707956E+02
      4.65315     0.16253050E+02
      4.66675     0.15893939E+02
      4.68036     0.15646510E+02
      4.69397     0.15433184E+02
      4.70757     0.15253567E+02
      4.72118     0.15073020E+02
      4.73478     0.14740862E+02
      4.74839     0.14485048E+02
      4.76199     0.14269159E+02
      4.77560     0.14059734E+02
      4.78921     0.13863989E+02
      4.80281     0.13682775E+02
      4.81642     0.13525220E+02
      4.83002     0.13375467E+02
      4.84363     0.13239341E+02
      4.85723     0.13105636E+02
      4.87084     0.12973168E+02
      4.88445     0.12841783E+02
      4.89805     0.12752730E+02
      4.91166     0.12654156E+02
      4.92526     0.12555421E+02
      4.93887     0.12475904E+02
      4.95247     0.12396968E+02
      4.96608     0.12306666E+02
      4.97969     0.12200746E+02
      4.99329     0.12117105E+02
      5.00690     0.12051198E+02
      5.02050     0.12014540E+02
      5.03411     0.12045064E+02
      5.04771     0.12167167E+02
      5.06132     0.12533453E+02
      5.07493     0.12663875E+02
      5.08853     0.12368918E+02
      5.10214     0.11988972E+02
      5.11574     0.11673407E+02
      5.12935     0.11333576E+02
      5.14295     0.11021734E+02
      5.15656     0.10748340E+02
      5.17017     0.10518956E+02
      5.18377     0.10291198E+02
      5.19738     0.10063073E+02
      5.21098     0.98345249E+01
      5.22459     0.96189229E+01
      5.23819     0.94381409E+01
      5.25180     0.92525222E+01
      5.26540     0.90371250E+01
      5.27901     0.88188423E+01
      5.29262     0.86375488E+01
      5.30622     0.84977137E+01
      5.31983     0.83633383E+01
      5.33343     0.82318645E+01
