# Energy [eV]  Re_eps_xx  Im_eps_xx
   9.047790  -0.251592E+01  0.122381E+01
   9.075000  -0.249411E+01  0.120943E+01
   9.102210  -0.247232E+01  0.119513E+01
   9.129420  -0.245050E+01  0.118097E+01
   9.156630  -0.242858E+01  0.116701E+01
   9.183850  -0.240654E+01  0.115343E+01
   9.211060  -0.238445E+01  0.114040E+01
   9.238270  -0.236254E+01  0.112805E+01
   9.265480  -0.234105E+01  0.111632E+01
   9.292690  -0.232013E+01  0.110502E+01
   9.319900  -0.229979E+01  0.109398E+01
   9.347110  -0.228001E+01  0.108308E+01
   9.374330  -0.226076E+01  0.107220E+01
   9.401540  -0.224201E+01  0.106123E+01
   9.428750  -0.222362E+01  0.105003E+01
   9.455960  -0.220544E+01  0.103855E+01
   9.483170  -0.218726E+01  0.102679E+01
   9.510380  -0.216893E+01  0.101488E+01
   9.537590  -0.215036E+01  0.100298E+01
   9.564810  -0.213156E+01  0.991246E+00
   9.592020  -0.211260E+01  0.979799E+00
   9.619230  -0.209355E+01  0.968711E+00
   9.646440  -0.207450E+01  0.958009E+00
   9.673650  -0.205550E+01  0.947695E+00
   9.700860  -0.203661E+01  0.937774E+00
   9.728070  -0.201785E+01  0.928265E+00
   9.755290  -0.199928E+01  0.919190E+00
   9.782500  -0.198103E+01  0.910563E+00
   9.809710  -0.196322E+01  0.902329E+00
   9.836920  -0.194594E+01  0.894354E+00
   9.864130  -0.192924E+01  0.886426E+00
   9.891340  -0.191298E+01  0.878348E+00
   9.918550  -0.189695E+01  0.870033E+00
   9.945760  -0.188091E+01  0.861542E+00
   9.972980  -0.186474E+01  0.853054E+00
  10.000190  -0.184843E+01  0.844791E+00
  10.027400  -0.183209E+01  0.836931E+00
  10.054610  -0.181591E+01  0.829566E+00
  10.081820  -0.180013E+01  0.822669E+00
  10.109030  -0.178492E+01  0.816106E+00
  10.136240  -0.177037E+01  0.809660E+00
  10.163460  -0.175647E+01  0.803079E+00
  10.190670  -0.174305E+01  0.796162E+00
  10.217880  -0.172988E+01  0.788844E+00
  10.245090  -0.171674E+01  0.781227E+00
  10.272300  -0.170360E+01  0.773494E+00
  10.299510  -0.169060E+01  0.765718E+00
  10.326720  -0.167787E+01  0.757742E+00
  10.353940  -0.166525E+01  0.749332E+00
  10.381150  -0.165248E+01  0.740437E+00
  10.408360  -0.163927E+01  0.731210E+00
  10.435570  -0.162552E+01  0.721894E+00
  10.462780  -0.161123E+01  0.712729E+00
  10.489990  -0.159648E+01  0.703911E+00
  10.517200  -0.158140E+01  0.695578E+00
  10.544420  -0.156616E+01  0.687810E+00
  10.571630  -0.155092E+01  0.680636E+00
  10.598840  -0.153585E+01  0.674012E+00
  10.626050  -0.152108E+01  0.667835E+00
  10.653260  -0.150665E+01  0.661967E+00
  10.680470  -0.149255E+01  0.656290E+00
  10.707680  -0.147873E+01  0.650732E+00
  10.734900  -0.146512E+01  0.645257E+00
  10.762110  -0.145167E+01  0.639873E+00
  10.789320  -0.143836E+01  0.634610E+00
  10.816530  -0.142520E+01  0.629491E+00
  10.843740  -0.141222E+01  0.624501E+00
  10.870950  -0.139940E+01  0.619607E+00
  10.898160  -0.138672E+01  0.614799E+00
  10.925380  -0.137411E+01  0.610093E+00
  10.952590  -0.136159E+01  0.605534E+00
  10.979800  -0.134912E+01  0.601176E+00
  11.007010  -0.133675E+01  0.597103E+00
  11.034220  -0.132457E+01  0.593386E+00
  11.061430  -0.131272E+01  0.590029E+00
  11.088640  -0.130137E+01  0.586943E+00
  11.115850  -0.129059E+01  0.583958E+00
  11.143070  -0.128036E+01  0.580882E+00
  11.170280  -0.127057E+01  0.577571E+00
  11.197490  -0.126108E+01  0.573950E+00
  11.224700  -0.125172E+01  0.570015E+00
  11.251910  -0.124236E+01  0.565829E+00
  11.279120  -0.123291E+01  0.561510E+00
  11.306330  -0.122335E+01  0.557205E+00
  11.333550  -0.121373E+01  0.553049E+00
  11.360760  -0.120420E+01  0.549115E+00
  11.387970  -0.119489E+01  0.545383E+00
  11.415180  -0.118589E+01  0.541758E+00
  11.442390  -0.117721E+01  0.538137E+00
  11.469600  -0.116883E+01  0.534459E+00
  11.496810  -0.116073E+01  0.530711E+00
  11.524030  -0.115295E+01  0.526849E+00
  11.551240  -0.114550E+01  0.522737E+00
  11.578450  -0.113826E+01  0.518244E+00
  11.605660  -0.113104E+01  0.513392E+00
  11.632870  -0.112378E+01  0.508290E+00
  11.660080  -0.111649E+01  0.502983E+00
  11.687290  -0.110918E+01  0.497452E+00
  11.714510  -0.110179E+01  0.491682E+00
  11.741720  -0.109426E+01  0.485701E+00
  11.768930  -0.108657E+01  0.479551E+00
  11.796140  -0.107868E+01  0.473269E+00
  11.823350  -0.107059E+01  0.466868E+00
  11.850560  -0.106226E+01  0.460359E+00
  11.877770  -0.105362E+01  0.453780E+00
  11.904990  -0.104461E+01  0.447217E+00
  11.932200  -0.103522E+01  0.440794E+00
  11.959410  -0.102550E+01  0.434618E+00
  11.986620  -0.101550E+01  0.428777E+00
  12.013830  -0.100533E+01  0.423323E+00
  12.041040  -0.995058E+00  0.418287E+00
  12.068250  -0.984787E+00  0.413679E+00
  12.095470  -0.974604E+00  0.409487E+00
  12.122680  -0.964603E+00  0.405668E+00
  12.149890  -0.954843E+00  0.402157E+00
  12.177100  -0.945366E+00  0.398885E+00
