# Energy [eV]  ref_ind_xx  extinct_xx
   5.401460  0.127961E+01  0.322554E+01
   5.428670  0.126003E+01  0.319719E+01
   5.455880  0.124259E+01  0.316950E+01
   5.483100  0.122714E+01  0.314283E+01
   5.510310  0.121345E+01  0.311752E+01
   5.537520  0.120115E+01  0.309387E+01
   5.564730  0.118976E+01  0.307204E+01
   5.591940  0.117874E+01  0.305203E+01
   5.619150  0.116766E+01  0.303359E+01
   5.646360  0.115625E+01  0.301639E+01
   5.673580  0.114442E+01  0.300013E+01
   5.700790  0.113216E+01  0.298455E+01
   5.728000  0.111956E+01  0.296948E+01
   5.755210  0.110673E+01  0.295487E+01
   5.782420  0.109369E+01  0.294079E+01
   5.809630  0.108033E+01  0.292736E+01
   5.836840  0.106639E+01  0.291463E+01
   5.864060  0.105143E+01  0.290249E+01
   5.891270  0.103500E+01  0.289051E+01
   5.918480  0.101688E+01  0.287782E+01
   5.945690  0.997571E+00  0.286343E+01
   5.972900  0.978188E+00  0.284694E+01
   6.000110  0.959638E+00  0.282877E+01
   6.027320  0.942223E+00  0.280959E+01
   6.054540  0.925880E+00  0.278979E+01
   6.081750  0.910532E+00  0.276958E+01
   6.108960  0.896157E+00  0.274904E+01
   6.136170  0.882792E+00  0.272828E+01
   6.163380  0.870454E+00  0.270746E+01
   6.190590  0.859114E+00  0.268673E+01
   6.217800  0.848701E+00  0.266623E+01
   6.245020  0.839124E+00  0.264604E+01
   6.272230  0.830297E+00  0.262623E+01
   6.299440  0.822143E+00  0.260683E+01
   6.326650  0.814605E+00  0.258788E+01
   6.353860  0.807634E+00  0.256941E+01
   6.381070  0.801169E+00  0.255147E+01
   6.408280  0.795110E+00  0.253414E+01
   6.435490  0.789319E+00  0.251742E+01
   6.462710  0.783632E+00  0.250130E+01
   6.489920  0.777908E+00  0.248567E+01
   6.517130  0.772046E+00  0.247035E+01
   6.544340  0.766032E+00  0.245514E+01
   6.571550  0.759977E+00  0.243980E+01
   6.598760  0.754112E+00  0.242420E+01
   6.625970  0.748712E+00  0.240835E+01
   6.653190  0.744000E+00  0.239241E+01
   6.680400  0.740105E+00  0.237662E+01
   6.707610  0.737030E+00  0.236122E+01
   6.734820  0.734663E+00  0.234645E+01
   6.762030  0.732826E+00  0.233243E+01
   6.789240  0.731375E+00  0.231919E+01
   6.816450  0.730229E+00  0.230675E+01
   6.843670  0.729272E+00  0.229522E+01
   6.870880  0.728284E+00  0.228466E+01
   6.898090  0.727001E+00  0.227497E+01
   6.925300  0.725242E+00  0.226595E+01
   6.952510  0.722994E+00  0.225732E+01
   6.979720  0.720411E+00  0.224888E+01
   7.006930  0.717704E+00  0.224061E+01
   7.034150  0.715010E+00  0.223267E+01
   7.061360  0.712316E+00  0.222527E+01
   7.088570  0.709426E+00  0.221860E+01
   7.115780  0.706032E+00  0.221271E+01
   7.142990  0.701790E+00  0.220748E+01
   7.170200  0.696415E+00  0.220258E+01
   7.197410  0.689789E+00  0.219755E+01
   7.224630  0.682087E+00  0.219184E+01
   7.251840  0.673779E+00  0.218512E+01
   7.279050  0.665388E+00  0.217740E+01
   7.306260  0.657268E+00  0.216892E+01
   7.333470  0.649548E+00  0.215997E+01
   7.360680  0.642217E+00  0.215078E+01
   7.387890  0.635202E+00  0.214150E+01
   7.415110  0.628392E+00  0.213223E+01
   7.442320  0.621678E+00  0.212297E+01
   7.469530  0.614979E+00  0.211365E+01
   7.496740  0.608261E+00  0.210420E+01
   7.523950  0.601564E+00  0.209448E+01
   7.551160  0.595044E+00  0.208440E+01
   7.578370  0.588925E+00  0.207399E+01
   7.605580  0.583365E+00  0.206345E+01
   7.632800  0.578372E+00  0.205303E+01
   7.660010  0.573813E+00  0.204294E+01
   7.687220  0.569461E+00  0.203328E+01
   7.714430  0.565114E+00  0.202397E+01
   7.741640  0.560676E+00  0.201485E+01
   7.768850  0.556156E+00  0.200581E+01
   7.796060  0.551620E+00  0.199677E+01
   7.823280  0.547139E+00  0.198769E+01
   7.850490  0.542774E+00  0.197859E+01
   7.877700  0.538559E+00  0.196952E+01
   7.904910  0.534503E+00  0.196052E+01
   7.932120  0.530588E+00  0.195160E+01
   7.959330  0.526803E+00  0.194278E+01
   7.986540  0.523161E+00  0.193405E+01
   8.013760  0.519705E+00  0.192540E+01
   8.040970  0.516481E+00  0.191693E+01
   8.068180  0.513493E+00  0.190872E+01
   8.095390  0.510684E+00  0.190089E+01
   8.122600  0.507934E+00  0.189354E+01
   8.149810  0.505080E+00  0.188668E+01
   8.177020  0.501959E+00  0.188029E+01
   8.204240  0.498446E+00  0.187425E+01
   8.231450  0.494451E+00  0.186845E+01
   8.258660  0.489899E+00  0.186277E+01
   8.285870  0.484738E+00  0.185700E+01
   8.313080  0.478987E+00  0.185094E+01
   8.340290  0.472785E+00  0.184434E+01
   8.367500  0.466389E+00  0.183706E+01
   8.394720  0.460095E+00  0.182910E+01
   8.421930  0.454126E+00  0.182063E+01
   8.449140  0.448561E+00  0.181186E+01
   8.476350  0.443381E+00  0.180292E+01
   8.503560  0.438536E+00  0.179391E+01
   8.530770  0.433999E+00  0.178487E+01
   8.557980  0.429753E+00  0.177585E+01
   8.585200  0.425767E+00  0.176687E+01
   8.612410  0.422007E+00  0.175799E+01
   8.639620  0.418455E+00  0.174920E+01
   8.666830  0.415091E+00  0.174054E+01
   8.694040  0.411855E+00  0.173206E+01
   8.721250  0.408671E+00  0.172372E+01
   8.748460  0.405513E+00  0.171545E+01
   8.775670  0.402411E+00  0.170722E+01
   8.802890  0.399407E+00  0.169902E+01
   8.830100  0.396522E+00  0.169088E+01
   8.857310  0.393758E+00  0.168283E+01
   8.884520  0.391102E+00  0.167490E+01
   8.911730  0.388527E+00  0.166712E+01
   8.938940  0.385985E+00  0.165949E+01
   8.966150  0.383425E+00  0.165201E+01
   8.993370  0.380809E+00  0.164464E+01
   9.020580  0.378129E+00  0.163731E+01
   9.047790  0.375406E+00  0.162999E+01
   9.075000  0.372671E+00  0.162265E+01
   9.102210  0.369943E+00  0.161529E+01
   9.129420  0.367237E+00  0.160791E+01
   9.156630  0.364585E+00  0.160047E+01
   9.183850  0.362034E+00  0.159299E+01
   9.211060  0.359637E+00  0.158549E+01
   9.238270  0.357416E+00  0.157806E+01
   9.265480  0.355342E+00  0.157077E+01
   9.292690  0.353349E+00  0.156364E+01
   9.319900  0.351382E+00  0.155668E+01
   9.347110  0.349409E+00  0.154987E+01
   9.374330  0.347397E+00  0.154319E+01
   9.401540  0.345309E+00  0.153663E+01
   9.428750  0.343114E+00  0.153015E+01
   9.455960  0.340803E+00  0.152368E+01
   9.483170  0.338393E+00  0.151716E+01
   9.510380  0.335930E+00  0.151056E+01
   9.537590  0.333472E+00  0.150385E+01
   9.564810  0.331066E+00  0.149705E+01
   9.592020  0.328749E+00  0.149019E+01
   9.619230  0.326539E+00  0.148330E+01
   9.646440  0.324441E+00  0.147640E+01
   9.673650  0.322451E+00  0.146952E+01
   9.700860  0.320571E+00  0.146266E+01
   9.728070  0.318806E+00  0.145584E+01
   9.755290  0.317160E+00  0.144909E+01
   9.782500  0.315631E+00  0.144245E+01
   9.809710  0.314194E+00  0.143594E+01
   9.836920  0.312796E+00  0.142961E+01
   9.864130  0.311367E+00  0.142344E+01
   9.891340  0.309848E+00  0.141739E+01
   9.918550  0.308224E+00  0.141136E+01
   9.945760  0.306533E+00  0.140530E+01
   9.972980  0.304843E+00  0.139917E+01
  10.000190  0.303233E+00  0.139297E+01
  10.027400  0.301755E+00  0.138677E+01
  10.054610  0.300428E+00  0.138064E+01
  10.081820  0.299228E+00  0.137465E+01
  10.109030  0.298097E+00  0.136886E+01
  10.136240  0.296951E+00  0.136329E+01
  10.163460  0.295705E+00  0.135791E+01
  10.190670  0.294297E+00  0.135265E+01
  10.217880  0.292722E+00  0.134743E+01
  10.245090  0.291030E+00  0.134217E+01
  10.272300  0.289288E+00  0.133689E+01
  10.299510  0.287509E+00  0.133164E+01
  10.326720  0.285629E+00  0.132644E+01
  10.353940  0.283572E+00  0.132124E+01
  10.381150  0.281340E+00  0.131591E+01
  10.408360  0.279005E+00  0.131039E+01
  10.435570  0.276666E+00  0.130463E+01
  10.462780  0.274409E+00  0.129866E+01
  10.489990  0.272300E+00  0.129253E+01
  10.517200  0.270384E+00  0.128628E+01
  10.544420  0.268680E+00  0.127998E+01
  10.571630  0.267189E+00  0.127370E+01
  10.598840  0.265884E+00  0.126750E+01
  10.626050  0.264718E+00  0.126141E+01
  10.653260  0.263637E+00  0.125545E+01
  10.680470  0.262599E+00  0.124960E+01
  10.707680  0.261581E+00  0.124385E+01
  10.734900  0.260573E+00  0.123815E+01
  10.762110  0.259583E+00  0.123250E+01
  10.789320  0.258626E+00  0.122689E+01
  10.816530  0.257710E+00  0.122132E+01
  10.843740  0.256826E+00  0.121581E+01
  10.870950  0.255964E+00  0.121034E+01
  10.898160  0.255123E+00  0.120491E+01
  10.925380  0.254312E+00  0.119950E+01
  10.952590  0.253552E+00  0.119410E+01
  10.979800  0.252866E+00  0.118872E+01
  11.007010  0.252286E+00  0.118338E+01
  11.034220  0.251834E+00  0.117813E+01
  11.061430  0.251500E+00  0.117302E+01
  11.088640  0.251235E+00  0.116811E+01
  11.115850  0.250964E+00  0.116343E+01
  11.143070  0.250607E+00  0.115895E+01
  11.170280  0.250115E+00  0.115461E+01
  11.197490  0.249467E+00  0.115035E+01
  11.224700  0.248674E+00  0.114611E+01
