# Energy [eV]  reflect_xx

  12.911810  0.656381E+00
  12.939020  0.656740E+00
  12.966230  0.657098E+00
  12.993440  0.657480E+00
  13.020650  0.657899E+00
  13.047860  0.658369E+00
  13.075080  0.658923E+00
  13.102290  0.659630E+00
  13.129500  0.660590E+00
  13.156710  0.661919E+00
  13.183920  0.663716E+00
  13.211130  0.666012E+00
  13.238340  0.668762E+00
  13.265560  0.671895E+00
  13.292770  0.675367E+00
  13.319980  0.679192E+00
  13.347190  0.683440E+00
  13.374400  0.688237E+00
  13.401610  0.693769E+00
  13.428820  0.700291E+00
  13.456030  0.708144E+00
  13.483250  0.717788E+00
  13.510460  0.729811E+00
  13.537670  0.744889E+00
  13.564880  0.763494E+00
